repo	skill	disposition	salience_module	rationale
az9713/ai-co-writing-claude-skills	linkedin-post	NOT-TAKEN	—	Nothing to take — formulaic hooks, fabricated examples.
az9713/ai-co-writing-claude-skills	linkedin-profile-optimizer	PARTIAL	salience-engage	"UNVERIFIED — salience-engage's description says it ""writes the LinkedIn recommendations the user gives to other people,"" which is the outbound-authoring direction. salience-profile scores against a recommendations_target"
az9713/ai-co-writing-claude-skills	thought-leadership	PARTIAL	salience-content	UNVERIFIED — reviewer should check skills/salience-content/SKILL.md and its references. The module brief describes pillar categories (domain_authority, leadership_judgment, point_of_view, human) and a scoring pass, but n
BrianRWagner	social-card-gen	NOT-TAKEN	—	duplicative content guardrails already covered.
BrianRWagner/ai-marketing-claude-code-skills	cold-outreach-sequence	PARTIAL	salience-engage	Salience's evidence tiers (verified/stated/inferred/proposed/gap) govern facts asserted *about the user*. They don't cover a distinct failure mode: a connection request or follow-up that *reads* as personally researched 
BrianRWagner/ai-marketing-claude-code-skills	content-idea-generator	PARTIAL	salience-content	"salience-content's module description (""Plan and produce LinkedIn content... Scores drafts before publishing and checks every claim against the fact ledger"") never mentions gating content generation on positioning being "
BrianRWagner/ai-marketing-claude-code-skills	linkedin-authority-builder	CONFIRMATION	salience-content	Not a gap — this independently converges on a principle Salience's config already encodes (not one of the 46 already-reported findings; a convergence with Salience's own shipped default). Also structurally confirms Salie
BrianRWagner/ai-marketing-claude-code-skills	linkedin-profile-optimizer	PARTIAL	salience-profile	"salience-profile ""scores every component honestly"" per its own description, but nothing in the module surface reviewed states an explicit anti-inflation floor or a stated prior on where most profiles actually land. Witho"
charlie947/social-media-skills	analytics-dashboard	MERGE	salience-analytics	F5/F6/F7 — four-quadrant post taxonomy; named export sheets; 'numbers, not adjectives'
charlie947/social-media-skills	gemini-carousel	NOT-TAKEN	—	no image-gen in Salience's scope.
charlie947/social-media-skills	graphic-designer	NOT-TAKEN	—	visual asset scope Salience doesn't own
charlie947/social-media-skills	pinned-comment	NOT-TAKEN	—	single-creator comedic persona bit.
charlie947/social-media-skills	post-scorer	MERGE	salience-content	F1/F2 — evidence required for content advice; score against the user's own top decile, not generic advice
charlie947/social-media-skills	post-writer	NOT-TAKEN	—	duplicative voice-gated drafting pattern
charlie947/social-media-skills	profile-optimizer	PARTIAL	salience-profile	Salience's profile.headline_char_target: 220 is one flat number applied regardless of goal, even though scoring.weights is already explicitly goal-conditional (executive_search / consulting / authority get different comp
charlie947/social-media-skills	quote-post	PARTIAL	salience-content / salience-voice	salience-voice flags off-voice *phrasing* inside a draft, but this is a check one level up — whether an entire *content format* fits the person's established voice and positioning before any draft is written. write-video
